id,y_lifespan,y_LRS,MLH,HOM,Sex,Site,Origin,hatch,mean_gs,MLH_std,HOM_std,mean_gs_std
W56,743,2,0.223429952,0.776570048,F,Yellingbo,W,8,0.7752961,-0.101213988,0.101213988,-0.268539882
W44,3051,10,0.237999451,0.762000549,F,Yellingbo,W,8,0.788704,0.988085989,-0.988085989,0.201045104
W42,2280,5,0.229481197,0.770518803,F,Yellingbo,W,6,0.7564045,0.351212072,-0.351212072,-0.930180537
W49,1096,2,0.239705205,0.760294795,F,Yellingbo,W,8,0.7797721,1.115618019,-1.115618019,-0.111776899
W47,1343,1,0.179496704,0.820503296,F,Yellingbo,W,7,0.7573168,-3.385917603,3.385917603,-0.898229047
W57,5172,29,0.243868579,0.756131421,F,Yellingbo,W,5,0.7692603,1.426895929,-1.426895929,-0.479931753
W5B,3684,28,0.236796339,0.763203661,F,Tonimbuk,W,3,NA,0.89813438,-0.89813438,NA
W61,1772,2,0.224227985,0.775772015,F,Yellingbo,W,6,0.7776924,-0.041548428,0.041548428,-0.184614249
W64,2196,8,0.236623068,0.763376932,F,Yellingbo,W,6,0.7617777,0.885179638,-0.885179638,-0.741994911
W62,1947,4,0.226183895,0.773816105,F,Yellingbo,W,6,0.7955059,0.104686712,-0.104686712,0.439268101
W68,2566,5,0.224908972,0.775091028,F,Yellingbo,W,4,0.749887,0.009366098,-0.009366098,-1.158442991
W119,4049,29,0.205645161,0.794354839,F,Yellingbo,W,9,NA,-1.430907784,1.430907784,NA
W114,3841,18,0.211761458,0.788238542,F,Yellingbo,W,10,NA,-0.97361806,0.97361806,NA
W6B,2694,5,0.218359989,0.781640011,F,Yellingbo,W,5,0.7574374,-0.480273734,0.480273734,-0.894005272
W8B,5006,35,0.23048567,0.76951433,F,Yellingbo,W,7,NA,0.426312281,-0.426312281,NA
W75,2887,8,0.215772282,0.784227718,F,Yellingbo,W,5,0.7687856,-0.673745669,0.673745669,-0.496557175
W38,3550,11,0.187713942,0.812286058,F,Yellingbo,W,1,0.7743015,-2.771549383,2.771549383,-0.303373766
W43,1202,3,0.235364507,0.764635493,F,Yellingbo,W,6,0.7702324,0.791082341,-0.791082341,-0.445885887
W23,2269,11,0.213686249,0.786313751,F,Yellingbo,W,3,NA,-0.829709557,0.829709557,NA
W59,1202,0,0.204104374,0.795895626,F,Yellingbo,W,8,NA,-1.546105928,1.546105928,NA
W26,1231,2,0.238033754,0.761966246,F,Yellingbo,W,8,NA,0.990650679,-0.990650679,NA
W29,1613,2,0.223229986,0.776770014,F,Yellingbo,W,8,NA,-0.116164603,0.116164603,NA
W37,1294,4,0.21732327,0.78267673,F,Yellingbo,W,6,0.7793652,-0.55778484,0.55778484,-0.126027761
W121,2304,10,0.217246175,0.782753825,F,Yellingbo,W,12,0.7640534,-0.563548908,0.563548908,-0.662293052
W111,1355,0,0.218910492,0.781089508,F,Yellingbo,W,11,NA,-0.439114947,0.439114947,NA
042-24378,3145,7,0.245716903,0.754283097,F,Tonimbuk,R,22,0.7683787,1.565087317,-1.565087317,-0.510808037
042-24404,3465,16,0.206918879,0.793081121,F,Tonimbuk,W,19,NA,-1.335677263,1.335677263,NA
042-24419,3187,5,0.211584358,0.788415642,F,Yellingbo,R,22,0.8847597,-0.98685908,0.98685908,3.565204637
042-24463,2020,11,0.226571114,0.773428886,F,Tonimbuk,W,23,0.7838412,0.133637443,-0.133637443,0.030735222
A71621,745,1,0.227122381,0.772877619,F,Tonimbuk,R,24,NA,0.174853351,-0.174853351,NA
A81196,2006,18,0.239072421,0.760927579,F,Yellingbo,R,25,0.7693281,1.068307429,-1.068307429,-0.477557193
042-59366,1355,0,0.215233008,0.784766992,F,Yellingbo,W,26,NA,-0.714064911,0.714064911,NA
042-59365,2920,30,0.216223673,0.783776327,F,Yellingbo,W,25,0.7799998,-0.639997069,0.639997069,-0.10380216
042-59368,3270,15,0.210214107,0.789785893,F,Yellingbo,W,25,0.7941895,-1.089306966,1.089306966,0.393163814
042-59371,971,0,0.211529607,0.788470393,F,Tonimbuk,W,26,0.7925671,-0.990952581,0.990952581,0.336342486
B00261,2454,9,0.227978323,0.772021677,F,Yellingbo,R,26,0.8104711,0.238848523,-0.238848523,0.963394418
043-00502,2164,5,0.248417576,0.751582424,F,Yellingbo,W,25,NA,1.767005245,-1.767005245,NA
043-00504,3404,2,0.192461239,0.807538761,F,Yellingbo,W,25,0.8062664,-2.416614014,2.416614014,0.816133177
043-00506,2226,6,0.22875757,0.77124243,F,Yellingbo,W,26,0.7754679,0.297109534,-0.297109534,-0.26252293
