male_id,female_id,y_fledge_nest,y_hatch_nest,y_eggs_nest,male_MLH,male_HOM,female_MLH,female_HOM,season,nest_site,male_origin,female_origin,male_id.1,female_id.1,pair_GD,pair_GS,male_age,female_age,male_MLH_std,female_MLH_std,pair_GD_std,pair_GS_std,male_HOM_std,female_HOM_std,male_age_std,female_age_std
W11B,W38,0,2,2,0.23807777,0.76192223,0.187713942,0.812286058,6,Yellingbo,W,W,041-37907,041-37910,0.225698526,0.774301474,3,5,0.985585485,-2.512822429,0.384271583,-0.384271583,-0.985585485,2.512822429,-0.615278902,0.229054629
W11B,W38,0,0,2,0.23807777,0.76192223,0.187713942,0.812286058,6,Yellingbo,W,W,041-37907,041-37910,0.225698526,0.774301474,3,5,0.985585485,-2.512822429,0.384271583,-0.384271583,-0.985585485,2.512822429,-0.615278902,0.229054629
W11B,W38,0,0,2,0.23807777,0.76192223,0.187713942,0.812286058,6,Yellingbo,W,W,041-37907,041-37910,0.225698526,0.774301474,3,5,0.985585485,-2.512822429,0.384271583,-0.384271583,-0.985585485,2.512822429,-0.615278902,0.229054629
W11B,W38,0,0,2,0.23807777,0.76192223,0.187713942,0.812286058,7,Yellingbo,W,W,041-37907,041-37910,0.225698526,0.774301474,4,6,0.985585485,-2.512822429,0.384271583,-0.384271583,-0.985585485,2.512822429,-0.181618471,0.721931107
W11B,W38,0,0,2,0.23807777,0.76192223,0.187713942,0.812286058,7,Yellingbo,W,W,041-37907,041-37910,0.225698526,0.774301474,4,6,0.985585485,-2.512822429,0.384271583,-0.384271583,-0.985585485,2.512822429,-0.181618471,0.721931107
W3,W75,2,2,2,0.221062442,0.778937558,0.215772282,0.784227718,7,Yellingbo,W,W,041-37820,041-37906,0.152545438,0.847454562,2,2,-0.425671971,-0.487062884,-1.687001293,1.687001293,0.425671971,0.487062884,-1.048939333,-1.249574805
W11B,W38,0,0,2,0.23807777,0.76192223,0.187713942,0.812286058,7,Yellingbo,W,W,041-37907,041-37910,0.225698526,0.774301474,4,6,0.985585485,-2.512822429,0.384271583,-0.384271583,-0.985585485,2.512822429,-0.181618471,0.721931107
W11B,W38,0,0,2,0.23807777,0.76192223,0.187713942,0.812286058,7,Yellingbo,W,W,041-37907,041-37910,0.225698526,0.774301474,4,6,0.985585485,-2.512822429,0.384271583,-0.384271583,-0.985585485,2.512822429,-0.181618471,0.721931107
W11B,W38,1,2,2,0.23807777,0.76192223,0.187713942,0.812286058,7,Yellingbo,W,W,041-37907,041-37910,0.225698526,0.774301474,4,6,0.985585485,-2.512822429,0.384271583,-0.384271583,-0.985585485,2.512822429,-0.181618471,0.721931107
W18,W42,0,0,2,0.226903178,0.773096822,0.229481197,0.770518803,8,Yellingbo,W,W,041-37917,041-37811,0.25409169,0.74590831,4,2,0.058760784,0.502695078,1.188201972,-1.188201972,-0.058760784,-0.502695078,-0.181618471,-1.249574805
W20,W43,0,0,1,0.249242633,0.750757367,0.235364507,0.764635493,8,Yellingbo,W,W,041-37919,041-37916,0.22976761,0.77023239,1,2,1.91160326,0.927459031,0.499484537,-0.499484537,-1.91160326,-0.927459031,-1.482599764,-1.249574805
W20,W43,1,2,2,0.249242633,0.750757367,0.235364507,0.764635493,8,Yellingbo,W,W,041-37919,041-37916,0.22976761,0.77023239,1,2,1.91160326,0.927459031,0.499484537,-0.499484537,-1.91160326,-0.927459031,-1.482599764,-1.249574805
W11B,W38,2,2,2,0.23807777,0.76192223,0.187713942,0.812286058,8,Yellingbo,W,W,041-37907,041-37910,0.225698526,0.774301474,5,7,0.985585485,-2.512822429,0.384271583,-0.384271583,-0.985585485,2.512822429,0.25204196,1.214807585
